category;duty_24;duty_False;True;False;duty_8;WEAK1;WEAK2;KG;KGD;M
A:BED;100;0;25;0;0,75;1,25;1,5;0,5;0,75;1
STROLL MOD;"1: 50, 2: 100";0;"1: 37, 2: 75";-50;0,75;1,25;1,5;0,5;0,75;1
Z:VELO;100;0;50;0;0,75;1,25;1,5;0,5;0,75;1
Z:SLEEPTIME;"22: 50, 21: 100";0;"22: 0, 21: 50";-50;0,75;1,25;1,5;0,5;0,75;1
Z:TEETH;50;0;50;-50;0,75;1,25;1,5;1;1;1
Z:TELE;300;0;50;-50;0,75;1,25;1,5;0,5;0,75;0,5
F:KITCHEN;50;0;50;-50;1,25;1,25;1,5;0,5;0,75;1
E:HYDIENE;25;0;50;0;1,5;1,25;1,5;0,5;0,75;1
E:PY;25;0;50;0;1,5;1,25;1,5;0,5;0,75;0
E:VIM;25;0;50;0;1,5;1,25;1,5;0,5;0,75;0
E:SLEEPTIME;25;0;50;0;1,5;1,25;1,5;0,5;0,75;0
E:PLAN;100;0;100;0;1,5;1,25;1,5;0,5;0,75;0
E:DIET;0;-50;50;0;1,5;1,25;1,5;0,5;0,75;0
E:MEALS;10*;0;20*;0;1;1,25;1,5;1;1;1
L:TEETH;50;0;50;-50;0,75;1,25;1,5;0,5;0,75;1
L:SLEEPTIME;100;0;50;-50;0,75;1,25;1,5;0,5;0,75;1
L:DIET;100;0;50;0;0,75;1,25;1,5;0,5;0,75;0
L:MEALS;30*;0;20*;0;0,75;1,25;1,5;1;1;1,5
