DATE;DAY;MOD;WEAK;DUTY;A:BED;F:STROLL MOD;Z:VELO;Z:SLEEPTIME;Z:TEETH;Z:TELE;F:KITCHEN;E:HYDIENE;E:PY;E:VIM;E:SLEEPTIME;E:PLAN;E:DIET;E:MEALS;L:TEETH;L:SLEEPTIME;L:DIET;L:MEALS
6.10;4;KG;1;;;;;22;T;;T;T;;;;T;T;3;;;T;
7.10;5;KG;1;24;T;2;;;T;;;;;;T;T;T;4;T;;;
8.10;6;;1;;;;;21;;T;T;T;;;;T;T;2;T;;;1
9.10;7;;1;;;1;;22;T;T;T;T;;;;T;;1;;;;1
10.10;1;KG;1;24;;1;;;T;;T;T;;;;T;T;3;;;;
11.10;2;KG;;;;;;22;T;;T;T;;;T;T;T;3;T;T;;
12.10;3;KG;;;T;;;22;T;T;;T;;;T;T;;3;;;T;1
13.10;4;KG;;24;;;;22;T;;T;;;;T;T;;3;;T;T;
14.10;5;KG;;;T;;;22;T;T;;T;;;;T;;3;T;;T;
15.10;6;;;;;1;;22;;T;;T;;;T;;;1;;;;
16.10;7;;;24;;;;22;T;;;;;;;T;T;4;;;;
17.10;1;KG;;8;;1;;21;T;T;T;T;;;;T;T;3;;T;;
18.10;2;KG;;;T;;;22;T;;;;;;;T;T;1;T;;;
19.10;3;KG;;24;;;;;T;;;T;;;T;T;T;2;;;;2
20.10;4;KG;;;;;;22;T;T;T;T;;;T;T;T;2;;;T;
21.10;5;KG;;;T;1;;22;T;;T;T;;;;T;;2;T;;T;1
22.10;6;;;24;;;;22;;;;;T;T;;;T;;T;;;
23.10;7;;;;;;;;T;T;T;T;;;T;T;T;;;;;
24.10;1;KG;;;T;;;22;T;T;T;;;;;T;;;T;;;
25.10;2;KG;;24;T;;;22;T;T;;;;;;T;;;;;;
26.10;3;KG;;;;;;;T;;;T;;;;;;;T;T;T;1
27.10;4;KG;;24;;;;22;T;;;T;;;T;T;;;T;;T;
28.10;5;KG;1;8;;;;22;T;T;;T;;;T;T;;;T;;T;
29.10;6;;1;24;T;;;22;;;T;;;;;;;;;;;2
30.10;7;;1;;;;;21;;T;T;T;;;;;T;3;;;;
31.10;1;KG;1;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
